timestamp,src_port,dst_port,payload_length
1658963248.253700,0,0,100
1658963248.255798,0,0,100
1658963250.244083,0,0,96
1658963250.246764,0,0,96
1658963250.248125,0,0,88
1658963250.248751,0,0,604
1658963250.251128,0,0,88
1658963250.255669,0,0,1480
1658963250.255698,0,0,180
1658963250.257664,0,0,88
1658963250.257665,0,0,88
1658963250.282736,0,0,116
1658963250.282737,0,0,88
1658963250.284976,0,0,88
1658963250.285253,0,0,88
1658963250.285257,0,0,96
1658963250.286046,0,0,88
1658963250.287018,0,0,96
1658963250.288191,0,0,88
1658963250.288467,0,0,604
1658963250.290416,0,0,88
1658963250.293840,0,0,1480
1658963250.293869,0,0,180
1658963250.295832,0,0,88
1658963250.295833,0,0,88
1658963250.302209,0,0,152
1658963250.302209,0,0,184
1658963250.302926,0,0,544
1658963250.304314,0,0,88
1658963250.304340,0,0,88
1658963250.304345,0,0,168
1658963250.304556,0,0,88
1658963250.304571,0,0,168
1658963250.305481,0,0,88
1658963250.305481,0,0,88
1658963250.305909,0,0,348
1658963250.307136,0,0,88
1658963250.307782,0,0,120
1658963250.310638,0,0,1480
1658963250.310698,0,0,1480
1658963250.311184,0,0,1480
1658963250.311579,0,0,1480
1658963250.311762,0,0,1480
1658963250.312211,0,0,1480
1658963250.312383,0,0,88
1658963250.312399,0,0,1480
1658963250.312600,0,0,88
1658963250.312888,0,0,1480
1658963250.313152,0,0,88
1658963250.313177,0,0,1480
1658963250.313312,0,0,88
1658963250.313800,0,0,1480
1658963250.313816,0,0,88
1658963250.314060,0,0,88
1658963250.314060,0,0,88
1658963250.314764,0,0,1480
1658963250.314796,0,0,88
1658963250.315270,0,0,1480
1658963250.315417,0,0,1480
1658963250.315525,0,0,88
1658963250.315664,0,0,1480
1658963250.316323,0,0,1480
1658963250.316389,0,0,88
1658963250.316697,0,0,1480
1658963250.316740,0,0,660
1658963250.317344,0,0,88
1658963250.318164,0,0,88
1658963250.318298,0,0,88
1658963250.318366,0,0,88
1658963250.338095,0,0,224
1658963250.340311,0,0,176
1658963250.340521,0,0,88
1658963250.340669,0,0,164
1658963250.340669,0,0,164
1658963250.346439,0,0,1480
1658963250.346555,0,0,1480
1658963250.347171,0,0,1480
1658963250.347442,0,0,1480
1658963250.347614,0,0,1480
1658963250.348014,0,0,1480
1658963250.348211,0,0,1480
1658963250.348499,0,0,88
1658963250.349000,0,0,1480
1658963250.349093,0,0,1480
1658963250.349280,0,0,88
1658963250.349647,0,0,1480
1658963250.349778,0,0,1480
1658963250.350073,0,0,88
1658963250.350103,0,0,1160
1658963250.350699,0,0,1480
1658963250.350964,0,0,1480
1658963250.351422,0,0,1480
1658963250.351854,0,0,1480
1658963250.352090,0,0,88
1658963250.352342,0,0,1480
1658963250.352534,0,0,1480
1658963250.352687,0,0,88
1658963250.352912,0,0,1480
1658963250.353182,0,0,1480
1658963250.353480,0,0,88
1658963250.353637,0,0,1480
1658963250.354005,0,0,1480
1658963250.354254,0,0,88
1658963250.354501,0,0,1480
1658963250.354700,0,0,1480
1658963250.355059,0,0,88
1658963250.355204,0,0,1480
1658963250.355686,0,0,1480
1658963250.355822,0,0,88
1658963250.355955,0,0,1480
1658963250.356362,0,0,1480
1658963250.356520,0,0,88
1658963250.356798,0,0,1480
1658963250.357029,0,0,1480
1658963250.357549,0,0,1480
1658963250.357552,0,0,88
1658963250.357948,0,0,1480
1658963250.358127,0,0,88
1658963250.358413,0,0,1480
1658963250.358677,0,0,1480
1658963250.359048,0,0,88
1658963250.359083,0,0,1480
1658963250.359694,0,0,1480
1658963250.360039,0,0,1480
1658963250.360272,0,0,1480
1658963250.360568,0,0,88
1658963250.360780,0,0,1480
1658963250.361167,0,0,1480
1658963250.361259,0,0,88
1658963250.361459,0,0,1480
1658963250.361695,0,0,1480
1658963250.361983,0,0,88
1658963250.362169,0,0,1480
1658963250.362677,0,0,1480
1658963250.362873,0,0,88
1658963250.363073,0,0,1480
1658963250.363456,0,0,1480
1658963250.363669,0,0,88
1658963250.363966,0,0,1480
1658963250.364127,0,0,1480
1658963250.364331,0,0,88
1658963250.364724,0,0,1480
1658963250.364906,0,0,1480
1658963250.365076,0,0,88
1658963250.365403,0,0,1480
1658963250.365644,0,0,1480
1658963250.365830,0,0,88
1658963250.366075,0,0,1480
1658963250.366451,0,0,1480
1658963250.366665,0,0,88
1658963250.366921,0,0,1480
1658963250.367284,0,0,1480
1658963250.367414,0,0,88
1658963250.367825,0,0,1480
1658963250.368086,0,0,1480
1658963250.368207,0,0,88
1658963250.368425,0,0,1480
1658963250.368824,0,0,1480
1658963250.369197,0,0,1480
1658963250.369706,0,0,1480
1658963250.369915,0,0,1480
1658963250.370450,0,0,1480
1658963250.370799,0,0,1480
1658963250.371308,0,0,1480
1658963250.371514,0,0,1480
1658963250.372056,0,0,1480
1658963250.372307,0,0,1480
1658963250.372431,0,0,88
1658963250.372804,0,0,1480
1658963250.372906,0,0,88
1658963250.373040,0,0,1480
1658963250.373395,0,0,1480
1658963250.373729,0,0,88
1658963250.373787,0,0,1480
1658963250.374169,0,0,1480
1658963250.374437,0,0,88
1658963250.374661,0,0,1480
1658963250.375019,0,0,1480
1658963250.375276,0,0,88
1658963250.375454,0,0,1480
1658963250.376033,0,0,1480
1658963250.376054,0,0,88
1658963250.376190,0,0,1480
1658963250.376644,0,0,1480
1658963250.376784,0,0,88
1658963250.376872,0,0,1480
1658963250.377419,0,0,1480
1658963250.377590,0,0,88
1658963250.377864,0,0,1480
1658963250.378298,0,0,1480
1658963250.378419,0,0,88
1658963250.378558,0,0,1480
1658963250.378988,0,0,1480
1658963250.379152,0,0,88
1658963250.379490,0,0,1480
1658963250.379666,0,0,1480
1658963250.379857,0,0,88
1658963250.380109,0,0,1480
1658963250.380608,0,0,88
1658963250.380645,0,0,1480
1658963250.381059,0,0,1480
1658963250.381373,0,0,1480
1658963250.381825,0,0,1480
1658963250.382162,0,0,1480
1658963250.382578,0,0,1480
1658963250.383046,0,0,1480
1658963250.383569,0,0,1480
1658963250.383695,0,0,1480
1658963250.384195,0,0,1480
1658963250.384815,0,0,1480
1658963250.384908,0,0,1480
1658963250.385476,0,0,1480
1658963250.385830,0,0,1480
1658963250.385964,0,0,1480
1658963250.386573,0,0,1480
1658963250.386957,0,0,88
1658963250.387025,0,0,1480
1658963250.387128,0,0,1480
1658963250.387654,0,0,1480
1658963250.387709,0,0,88
1658963250.388485,0,0,88
1658963250.389214,0,0,1480
1658963250.389293,0,0,88
1658963250.389356,0,0,1480
1658963250.389756,0,0,1480
1658963250.390200,0,0,1480
1658963250.390648,0,0,1480
1658963250.390911,0,0,1480
1658963250.390951,0,0,88
1658963250.391336,0,0,1480
1658963250.391544,0,0,88
1658963250.391833,0,0,1480
1658963250.392108,0,0,1480
1658963250.392347,0,0,88
1658963250.392562,0,0,1480
1658963250.393017,0,0,1480
1658963250.393187,0,0,88
1658963250.393278,0,0,1480
1658963250.393809,0,0,1480
1658963250.393931,0,0,88
1658963250.393952,0,0,1480
1658963250.394447,0,0,1480
1658963250.394741,0,0,88
1658963250.394960,0,0,1480
1658963250.395418,0,0,1480
1658963250.395632,0,0,1480
1658963250.395655,0,0,88
1658963250.395864,0,0,1480
1658963250.396323,0,0,88
1658963250.397156,0,0,88
1658963250.397687,0,0,1480
1658963250.397901,0,0,1480
1658963250.397954,0,0,88
1658963250.398255,0,0,1480
1658963250.399047,0,0,588
1658963250.399073,0,0,1480
1658963250.399256,0,0,1480
1658963250.399439,0,0,1380
1658963250.399648,0,0,88
1658963250.400062,0,0,88
1658963250.400185,0,0,1480
1658963250.400305,0,0,1480
1658963250.400866,0,0,88
1658963250.400875,0,0,1480
1658963250.400973,0,0,1480
1658963250.401484,0,0,1480
1658963250.401752,0,0,88
1658963250.401873,0,0,1480
1658963250.402295,0,0,1480
1658963250.402505,0,0,88
1658963250.402728,0,0,1480
1658963250.402995,0,0,1480
1658963250.403177,0,0,88
1658963250.403360,0,0,1480
1658963250.403928,0,0,1480
1658963250.404199,0,0,1480
1658963250.404446,0,0,88
1658963250.404776,0,0,1480
1658963250.404908,0,0,1480
1658963250.405141,0,0,88
1658963250.405470,0,0,1480
1658963250.405636,0,0,1480
1658963250.405952,0,0,88
1658963250.406181,0,0,1480
1658963250.406431,0,0,1480
1658963250.406711,0,0,88
1658963250.406983,0,0,1480
1658963250.407190,0,0,1480
1658963250.407437,0,0,88
1658963250.407774,0,0,1480
1658963250.407998,0,0,1480
1658963250.408490,0,0,1480
1658963250.408769,0,0,1480
1658963250.409045,0,0,88
1658963250.409319,0,0,1480
1658963250.409404,0,0,88
1658963250.409748,0,0,1480
1658963250.409982,0,0,1480
1658963250.410275,0,0,88
1658963250.410357,0,0,1480
1658963250.410842,0,0,1480
1658963250.410945,0,0,88
1658963250.411246,0,0,1480
1658963250.411644,0,0,1480
1658963250.411757,0,0,88
1658963250.412060,0,0,1480
1658963250.412195,0,0,1480
1658963250.412614,0,0,88
1658963250.412778,0,0,1480
1658963250.413112,0,0,1480
1658963250.413380,0,0,88
1658963250.413627,0,0,1480
1658963250.413794,0,0,1480
1658963250.414133,0,0,88
1658963250.414365,0,0,1480
1658963250.414680,0,0,1480
1658963250.414971,0,0,88
1658963250.415213,0,0,1480
1658963250.415503,0,0,1480
1658963250.415667,0,0,88
1658963250.415983,0,0,1480
1658963250.416118,0,0,1480
1658963250.416329,0,0,88
1658963250.416716,0,0,1480
1658963250.416944,0,0,1480
1658963250.417334,0,0,88
1658963250.417488,0,0,1480
1658963250.417770,0,0,1480
1658963250.418027,0,0,88
1658963250.418251,0,0,1480
1658963250.418442,0,0,1480
1658963250.418860,0,0,88
1658963250.419029,0,0,1480
1658963250.419369,0,0,1480
1658963250.419684,0,0,88
1658963250.419905,0,0,1480
1658963250.420017,0,0,1480
1658963250.420362,0,0,88
1658963250.420681,0,0,1480
1658963250.420807,0,0,1480
1658963250.421077,0,0,88
1658963250.421252,0,0,1480
1658963250.421686,0,0,1480
1658963250.421845,0,0,88
1658963250.422071,0,0,1480
1658963250.422572,0,0,1480
1658963250.422637,0,0,88
1658963250.422866,0,0,1480
1658963250.423283,0,0,1480
1658963250.423431,0,0,88
1658963250.423694,0,0,1480
1658963250.423981,0,0,1480
1658963250.424185,0,0,88
1658963250.424433,0,0,1480
1658963250.424882,0,0,1480
1658963250.425047,0,0,1480
1658963250.425467,0,0,88
1658963250.425755,0,0,1480
1658963250.425913,0,0,1480
